Row data started in the following order:
time, gx, gy, gz, ax, ay, az, mx, my, mz, temp, pres;
2222093857l,   -0.01171,   -0.02341,   +0.00851,   -1.02197,   -0.02100,   +0.00342,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222104598l,   -0.01490,   -0.00213,   -0.00426,   -1.00977,   -0.02783,   +0.00586,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222115338l,   -0.02022,   +0.00213,   -0.00851,   -1.00391,   -0.01758,   +0.00879,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222126078l,   -0.01383,   +0.00532,   -0.01064,   -1.00977,   -0.02002,   +0.01270,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222136818l,   -0.01703,   +0.00745,   -0.01703,   -1.01562,   -0.01318,   +0.02051,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222147558l,   -0.01916,   +0.00958,   -0.01490,   -1.01025,   -0.01074,   +0.01709,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222158297l,   -0.01383,   -0.00745,   -0.00532,   -1.01318,   -0.02100,   +0.01270,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222169037l,   -0.00958,   -0.00958,   +0.00106,   -1.00537,   -0.01172,   +0.01318,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222179776l,   -0.00958,   -0.01383,   +0.01277,   -1.01514,   -0.01562,   +0.02441,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222190515l,   -0.00639,   -0.01277,   +0.00851,   -1.01904,   -0.01514,   +0.00439,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222201254l,   -0.00745,   -0.01703,   +0.00851,   -1.01367,   -0.02051,   +0.02832,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222211992l,   -0.00426,   -0.02980,   +0.01596,   -1.00293,   -0.01611,   +0.01123,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222222784l,   -0.01277,   -0.03406,   +0.01596,   -1.00732,   -0.03125,   +0.02295,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222233522l,   -0.00745,   -0.02022,   +0.00426,   -1.01904,   -0.02295,   +0.01221,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222244260l,   -0.01383,   -0.00106,   -0.01064,   -1.01123,   -0.02637,   +0.01221,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222255000l,   -0.01490,   +0.00639,   -0.02022,   -1.01221,   -0.02979,   +0.01611,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222265739l,   -0.01383,   +0.01596,   -0.01383,   -1.00977,   -0.01172,   +0.02100,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222276477l,   -0.02022,   -0.00319,   -0.00851,   -1.01562,   -0.02100,   +0.03027,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222287215l,   -0.00958,   -0.01809,   +0.00851,   -1.01221,   -0.02051,   +0.02637,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222298032l,   -0.01277,   -0.00745,   +0.00745,   -1.01270,   -0.02197,   +0.01025,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222308776l,   -0.01277,   -0.00000,   +0.00106,   -1.00977,   -0.01172,   +0.01074,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222319520l,   -0.00958,   -0.01703,   +0.00851,   -1.00977,   -0.02100,   +0.02490,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222330262l,   -0.00106,   -0.02448,   +0.01916,   -1.00977,   -0.01514,   +0.02441,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222340999l,   -0.00213,   -0.02022,   +0.01383,   -1.02051,   -0.02100,   +0.01611,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222351738l,   -0.01171,   -0.00851,   -0.00639,   -1.00732,   -0.02051,   +0.01025,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222362481l,   -0.01809,   -0.00532,   -0.00639,   -1.01074,   -0.00977,   +0.00732,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
